iter	Passed	Remaining
0	55	55340
1	65	32502
2	76	25542
3	89	22262
4	96	19263
5	104	17343
6	111	15861
7	119	14788
8	122	13535
9	128	12716
10	136	12239
11	140	11573
12	143	10913
13	146	10331
14	149	9825
15	153	9410
16	159	9238
17	165	9035
18	168	8719
19	172	8466
20	175	8203
21	179	7964
22	183	7777
23	186	7581
24	189	7396
25	192	7219
26	196	7065
27	198	6896
28	201	6760
29	206	6667
30	210	6571
31	214	6487
32	219	6435
33	225	6415
34	229	6316
35	232	6222
36	235	6125
37	238	6035
38	241	5948
39	244	5863
40	249	5843
41	257	5875
42	262	5833
43	265	5771
44	269	5710
45	272	5657
46	276	5611
47	280	5559
48	284	5514
49	288	5478
50	291	5427
51	295	5378
52	300	5371
53	305	5343
54	308	5292
55	311	5249
56	315	5213
57	320	5204
58	323	5164
59	327	5127
60	330	5082
61	333	5044
62	336	5009
63	340	4975
64	343	4945
65	349	4941
66	354	4939
67	358	4910
68	361	4876
69	364	4845
70	368	4819
71	371	4787
72	376	4780
73	380	4758
74	383	4731
75	389	4733
76	394	4728
77	398	4705
78	401	4678
79	404	4649
80	407	4628
81	416	4659
82	421	4655
83	425	4636
84	428	4616
85	434	4619
86	439	4612
87	443	4594
88	446	4573
89	450	4552
90	454	4535
91	457	4516
92	462	4514
93	466	4491
94	469	4475
95	472	4453
96	477	4441
97	480	4422
98	483	4404
99	486	4382
100	490	4363
101	493	4344
102	496	4326
103	500	4307
104	503	4288
105	506	4272
106	510	4258
107	514	4246
108	517	4233
109	522	4226
110	528	4232
111	532	4219
112	535	4205
113	539	4192
114	542	4177
115	546	4162
116	549	4148
117	553	4135
118	556	4119
119	559	4103
120	563	4095
121	567	4087
122	573	4086
123	580	4097
124	588	4116
125	591	4101
126	594	4089
127	598	4073
128	601	4060
129	604	4045
130	610	4048
131	615	4048
132	620	4043
133	624	4038
134	630	4037
135	633	4026
136	636	4012
137	640	3999
138	643	3986
139	646	3973
140	649	3959
141	653	3946
142	656	3936
143	662	3936
144	666	3929
145	670	3920
146	673	3906
147	676	3893
148	679	3879
149	683	3871
150	688	3872
151	691	3860
152	695	3851
153	698	3839
154	703	3835
155	709	3840
156	713	3832
157	717	3825
158	722	3822
159	727	3821
160	731	3812
161	735	3802
162	738	3790
163	745	3801
164	751	3802
165	756	3802
166	760	3792
167	764	3785
168	767	3775
169	771	3765
170	774	3753
171	777	3742
172	780	3732
173	784	3721
174	786	3707
175	789	3696
176	795	3700
177	800	3697
178	804	3689
179	807	3678
180	810	3669
181	814	3658
182	817	3647
183	819	3636
184	822	3624
185	825	3614
186	828	3603
187	831	3592
188	834	3580
189	840	3581
190	845	3579
191	848	3569
192	851	3559
193	854	3548
194	857	3538
195	860	3529
