,№ пациента (пробирки) ,"Кровь (да-1, нет-2)","Группа наблюдения (1-здоровые, 2-ГАГ, 3-ум.ПЭ, 4-тяж.ПЭ,0-хрАГ)",Местность (1 - город; 2 - село),"Брак (1 - зарегистрирован, 2 - не состоит в браке)","Образование (1 - высшее, 2 - неполное высшее, 3 - среднее)","Вид родоразрешения (1 - ЕР, 2 - КС, 0 - не родоразрешена)",Вредные привычки,Unnamed: 8_level_1,Unnamed: 9_level_1,"Профессиональные вредности (1 - нет, 2 - да)","Многоплодие в анамнезе (1 - нет, 2- да)","Наследственные заболевания (1 - нет, 2 - да)","Переливания крови (1 - нет, 2 - да)","Менструация с, лет","регулярные (1 - нет, 2 - да)","безболезненные (1 - нет, 2 - да)","умеренные (1 - нет, 2 - да)","Контрацепция: (1 - нет, 2 - да)","Гинекологические заболевания (1 - нет, 2 - да)","Начало половой жизни, лет",номер настоящей беременности,Аборт,Unnamed: 23_level_1,Unnamed: 24_level_1,Роды,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Сведения о детях,Unnamed: 30_level_1,Unnamed: 31_level_1,"Общая прибавка в весе +, кг",I триместр,Unnamed: 34_level_1,II триместр,Unnamed: 36_level_1,III триместр,Unnamed: 38_level_1,"Лекарственные препараты в I триместре беременности (1 - нет, 2 - ВМК, 3 - микронизированный прогестерон, 4 - антигипертензивные препараты, 5 - препараты железа, 6 - антикоагулянты)",Шкала Глазго,t,"Ожирение (1 - нет, 2 - ожирение 1 степени, 3 - ожирение 2 степени, 4 - ожирение 3 степени)","Гирсутизм (1 - нет, 2 - да)","Стрии (1 - нет, 2 - да)","Послеоперационный рубец (1 - нет, 2 - да)",САД,ДАД,"Отеки (1 - нет, 2 - да)","Периферические вены (1 - норма, 2 - варикозное расширение)","Матка (1 - в нормальном тонусе, 2 - возбудима)","ОЖ, см",ВДМ,"Положение плода (1 - продольное, 2 - поперечное)","Предлежащая часть (1 - головка, 2 - тазовый конец)",Сердцебиение плода (1 - ясное ритмичное),ЧСС,"Околоплодные воды (1 - не изливались, 2 - подтекание оклоплодных вод)","Патологические выделения из половых путей (1 - нет, 2 - да)","Выделения (1 - слизистые, 2 - бели, 3 - творожистые)","Вход во влагалище (1 - рожавшей, 2 -нерожавшей)","Степень зрелости шейки (1 - зрелая, 2 -созревающая, 3 - незрелая, 4 - не проводилось в виду предлежания)","Деформации малого таза (1 - нет, 2 - да)",Всего баллов,"Риск (1 - низкий, 2 - средний, 3 - высокий)",Биохимический анализ крови,Unnamed: 66_level_1,Unnamed: 67_level_1,Unnamed: 68_level_1,Unnamed: 69_level_1,Unnamed: 70_level_1,Unnamed: 71_level_1,Unnamed: 72_level_1,Unnamed: 73_level_1,Unnamed: 74_level_1,ОБЩИЙ АНАЛИЗ КРОВИ,Unnamed: 76_level_1,Unnamed: 77_level_1,Unnamed: 78_level_1,Unnamed: 79_level_1,Unnamed: 80_level_1,Unnamed: 81_level_1,Unnamed: 82_level_1,Unnamed: 83_level_1,ГЕМОСТАЗ,Unnamed: 85_level_1,Unnamed: 86_level_1,Unnamed: 87_level_1,Unnamed: 88_level_1,Unnamed: 89_level_1,Unnamed: 90_level_1,Unnamed: 91_level_1,Unnamed: 92_level_1,Unnamed: 93_level_1,ПЛАЦЕНТА,Unnamed: 95_level_1,КОЛИЧЕСТВО ОКОЛОПЛОДНЫХ ВОД,Unnamed: 97_level_1,Апгар 1 минута,Апгар 5 минута,"Первичная реанимация (1 - нет, 2 - да)",Длина,"Пороки (1 - нет, 2 - упущен)","КТР, мм","БПР, мм","ТВП, мм",Кровоток в венозном протоке (1 - норма),PI,ПИ в маточных артериях справа,ПИ в маточных артериях слева,"Структура плаценты (1 - однородная, 2 - неоднородная)","Пуповина имеет (1 - 3 сосуда, 2 - 2 сосуда)"
№ пациента (пробирки) ,1.0,-0.7903425254393721,0.5100426447091787,-0.13553947652010181,-0.10724871682311718,-0.1039853129504979,0.13459545332081924,0.14493419804159743,,,,,0.0407192961535443,-0.03623467015992772,-0.007399292682297165,0.03557199655236319,0.18053326219726967,0.182014574774168,-0.10561396244256342,0.05668386051928333,0.03259561563854991,-0.04164988597935062,-0.10920534970362122,0.00908707079396297,0.02790124326097133,-0.05225152594244479,0.04199891860065101,0.02659517163713327,-0.047172036242019155,-0.021438657346331727,-0.060661124799669175,0.19647519356267698,-0.02403320420655647,-0.024263939511835815,0.044728342148554076,0.08128015146602477,-0.004075288642263523,-0.12685834584945496,0.16186266416761264,0.0060682989942142515,0.03398336355488953,-0.028987009491537673,0.154782775950443,,,-0.2327222169137256,0.4010958044214079,0.33912654891784194,0.35080794741860283,0.130571305476518,0.07801401526941862,0.22086140572996374,-0.07619451116324572,,0.000729141057361849,,-0.009039307736732423,0.04385837542284737,0.016100222807151076,-0.024462354032571097,0.0007773102502806399,-0.0026327980989561766,,0.2776637774327673,0.19593666502928436,0.08469343140019456,-0.18089026317978288,-0.16384908745948246,-0.04786078101321744,0.18514905350804647,0.2582398396745018,0.25515268235922467,-0.04415164209164345,-0.019076244954049085,0.18364741209537797,0.09032055840308864,-0.048173718768874156,0.1044856881200493,0.14371249998598448,0.1400234665737542,0.0971767024819774,-0.041731194161119006,-0.052535192655872115,0.0332068867174105,-0.07595135766173584,-0.04828811766446696,-0.04863303567494834,-0.07012626677741327,0.09990035343021876,-0.07432393153798075,0.04375214457415391,-0.1802910926131741,0.08598100803101538,-0.20552255575337317,-0.000833438173719427,-0.05035611753813652,0.0662748292948991,0.029696778849306188,0.08211970594827196,-0.11183818095549676,0.04301732435076076,-0.22973246013490206,-0.04561549435937758,-0.08614823469439988,-0.004662319615786231,0.049604922682669396,,0.05459063401934699,0.02764811422901472,-0.024746369197833403,0.09472597000178277,-0.03955561275664153
"Кровь (да-1, нет-2)",-0.7903425254393721,1.0,-0.40478645801831714,0.1323444445294574,0.12610740820062197,0.08894578869812561,-0.0946118737242657,-0.12524400847428238,,,,,-0.047619047619048525,0.009669172381336038,0.04432367912073665,-0.01710964777072841,-0.15811388300841955,-0.20329670329670288,0.13363062095621125,-0.06642722213932563,-0.059848470776381064,0.04281399480971527,0.10119047619047672,0.023826721012061344,0.019976043113781417,0.07142857142857163,-0.03106848830006055,-0.23056837697439245,0.07126145207337096,0.01577593229640667,0.0767529556453336,-0.1517442446667209,0.03298582393566428,1.4309223122632593e-16,-0.03459712565676875,-0.07142857142857133,-0.05006037704294957,0.03818017741606058,-0.0655884908083272,0.012308216692592138,0.06715883618966587,-0.13761940714276516,-0.09272493523332928,,,0.24397501823713305,-0.2995746184805019,-0.270585926631325,-0.24498947175305597,-0.08671099695241276,-0.01473458923226841,-0.11193403149382722,0.031355428721771335,,-0.03800431200656702,,-0.02535398669883745,0.006801619522384499,-0.038004312006566884,0.013819749820569643,0.011297632109113005,-0.009050607678199506,,-0.18321747366654906,-0.11984504533632591,0.01473690628367209,0.07856655184716477,0.08094460145587343,0.07679219627630801,-0.2182748302409628,-0.18621728565942713,-0.16351363869130625,0.10322019204330699,0.06832990634505968,-0.2277508793696709,-0.09289152356543337,0.02815790331059222,-0.20076690177521514,-0.07080864321631655,-0.07069369525324523,-0.1649376815786881,-0.07383959873684694,0.03800792642257217,-0.07295176216291364,0.063171525489016,-0.057163478356590185,0.0820159442140392,-0.018229897497498534,-0.08273337538144183,0.13858355913740392,-0.13070995942453395,0.12082887063196394,-0.06126002841824986,0.11088396827903796,-0.04052012038873878,0.13020696107782478,-0.021677749238103713,-0.037372557018920796,-0.055569727829053006,0.06939315030888248,-0.11692679333668687,0.1650685085691979,0.02130716211476783,0.025919790189205826,-0.03692641377185921,-0.06319534525785288,,-0.013869495892515722,-0.054591221962966376,0.04340828003849887,0.018582353656179326,-0.03340765523905415
"Группа наблюдения (1-здоровые, 2-ГАГ, 3-ум.ПЭ, 4-тяж.ПЭ,0-хрАГ)",0.5100426447091787,-0.40478645801831714,1.0,-0.18640412988462945,-0.059239742807177156,-0.0994208932654502,0.27810504000258834,0.21792218658817405,,,,,-0.06809491817130595,-0.022020541347724115,-0.02765139391989349,-0.07883708439073012,0.12142503560093083,0.11160000478075101,-0.10527692561011943,0.0820172443348532,-0.036545208236001,-0.08712147992876271,-0.112230513282337,0.1023308736195681,0.03187181201107116,-0.17685763469491875,-0.03537763648434071,-0.1539673903328573,-0.013872734822267276,-0.16689835443187914,0.038617926062886145,0.042480160130137196,0.1895118308736993,-0.03245220581396499,0.08836961337393673,0.03499322183803225,0.14134921395217753,-0.2841086779970576,0.3719208482228059,0.12291947425600673,0.0604675421247826,-0.05861631732245907,0.24907647745818365,,,-0.15893542350250023,0.6691974134178255,0.6429852562026808,0.5732726705492226,0.04248016013013686,-0.01034008584527615,0.35695797748642216,-0.029455016887778428,,-0.031473052743006796,,0.029063999452999645,-0.015489985907510738,-0.10283637000912635,-0.10283637000912609,0.1627520866594594,0.13781161481786983,,0.5147738326631723,0.4706781074523948,0.10665530706475104,-0.22151689913768186,-0.30510319286912785,-0.018117108986042033,0.19519927184454708,0.2163125749862692,0.1377560205523694,0.09269814014509482,0.12335648491935096,0.2956731197431105,0.045128613637365186,0.0725672781126562,0.059184014798519494,0.05049941441843435,0.04249292235340349,-0.04491422277392083,0.1383577549425771,-0.06296723348293462,-0.03739852678176168,-0.098279921134342,0.01603678609450333,0.02251117425395066,0.0782887311941382,0.1345598950202542,-0.09390607502344858,0.0797271953332389,-0.09715933872527788,0.012775609952537157,-0.16418345565802436,-0.030630065617138345,-0.1107908543142128,0.04248016013013675,0.011616525168328245,0.012508275340255701,-0.15420734707052092,0.12473988664728476,-0.43296819508273765,-0.07297537213284917,-0.12402440946411401,0.06767767703297126,0.033770743064298295,,0.12773540230274097,0.21621539179695246,0.11929579631747633,-0.014903174252740844,0.009731480518582669
Местность (1 - город; 2 - село),-0.13553947652010181,0.1323444445294574,-0.18640412988462945,1.0,0.20021490905316655,0.23224942147419866,-0.14947368574502848,-0.06227943530985011,,,,,0.0193002314938794,0.08845658375885132,-0.017666187295564795,0.10104736980266309,-0.0706235423146137,-0.1323444445294575,0.05545069126120296,0.07339797878390203,-0.017122500812693342,0.12055574055297726,0.08822962968630492,-0.0918050239886559,-0.005204820461773956,0.09512256950554754,0.025184418686953623,0.08812060854916325,0.030778382915940823,0.15802467643790263,-0.06443871681305559,-0.015061880828219496,-0.04196677960488605,0.1158128766265109,-0.1550353538493527,0.008271527783090992,-0.019565081528395943,0.1816424637327115,-0.17816781975218363,0.00837368795839568,0.06443871681305546,-0.11005459465983713,-0.057545604979953195,,,0.047087743307000725,-0.02727833383306411,-0.12060558694640179,-0.151307312588709,-0.08033003108383699,-0.06227943530985026,0.03526503828341088,-0.028561567524990398,,0.07441609943213223,,-0.030819988331334872,0.011026917830489617,0.07441609943213218,0.12642735172340716,-0.19100909757377701,-0.04297099054398673,,-0.07859636515055336,-0.06424743660298833,-0.0033807657112867747,0.12309376230241302,0.10497368536424781,-0.09258864337875733,-0.059899233845542736,-0.03328017329385209,0.011335870248800476,0.02569487946521373,0.046769490597753795,-0.12553640593328708,-0.02132036479519686,0.06774400794487326,0.00287685583436161,-0.06341784635925414,-0.06368439947276543,0.13120932653146491,-0.05850810305208799,-0.08545081031152373,-0.040471910472209764,0.04531447451486431,-0.04073283992816783,-0.04142625884169611,0.05625257278924664,-0.10825673857911852,0.08412583262947028,-0.10432699344700101,0.026395208014655325,0.12741566697196197,0.028718576864712204,0.03384133699485017,0.0058331517380398904,-0.08033003108383699,0.12323570817492997,0.08866071185528017,0.07232240871275489,-0.11219093348196883,0.13303467400478694,0.03454358554858072,0.17176283417278512,0.056627927380906766,0.08270423557654381,,0.021002936235195124,-0.07786847950547894,0.07581562880539473,-0.009837085090707997,0.05545069126120303
"Брак (1 - зарегистрирован, 2 - не состоит в браке)",-0.10724871682311718,0.12610740820062197,-0.059239742807177156,0.20021490905316655,1.0,0.31869336909600443,-0.06121254196886356,0.05994523988542475,,,,,-0.08041631827286097,0.031173056950078947,0.01629954069684543,-0.055160876579486776,-0.1629823658045607,-0.1535220621572792,0.05470732932414757,0.04929054661000953,-0.12539000417220914,0.03736170628509929,0.09625589611448483,0.14166154987607457,-0.03526777832455922,-0.016448792373994194,-0.10493336462255957,0.0002691812372729671,0.23417952484064591,-0.10293303049041397,-0.03240399807517906,-0.07321628085116343,-0.003804808907030557,0.10379985922153646,-0.051987555466665406,-0.01096586158266274,0.06367879918975185,-0.06740724506011075,-0.019168027678351317,-0.03708306260945966,0.032403998075178866,0.0370897613134587,-0.00663393705806031,,,0.10986960721623193,-0.041350378035739994,-0.08045878274532622,-0.1527246276965798,0.013312051063847757,-0.08709025417316471,-0.028310896582567274,-0.026855658325385955,,-0.02439881964594288,,-0.06271815994406774,0.08980108433739793,0.04455436630998203,-0.0014144243273008835,0.07111186693429664,0.08614701318109355,,-0.12027112493746286,-0.10267335022722782,0.020409884550961845,0.09029750383119112,-0.14226884303766693,-0.042534406426217995,0.07263486307996098,-0.03072141690149114,-0.0023312940154977912,0.07917773319470353,0.0835218528932441,-0.12529933468972804,-0.04597215015781421,-0.023704913399456434,-0.030953362689054756,-0.03603842124456658,0.15771708930041786,0.16374395963142818,-0.024555418385249175,-0.038530053390955644,-0.0007698821806121386,-0.050582994734264794,-0.04881409165488954,-0.01753395657983001,0.07612568720771178,-0.06920470691663146,-0.11055543971186307,0.05695119448113841,-0.06847846735158886,-0.06494565065827235,-0.09042396690718085,-0.09199143730845104,0.016341896432502317,-0.07321628085116343,0.019469917843909907,-0.02748935523169047,0.04764428069823787,0.05470732932414762,0.06265336630104856,0.04506875709508281,0.0820738503056737,-0.004152614880158565,-0.03479286912607403,,-0.008910191108557213,0.022464724778517065,0.08088839214932254,-0.019562065735079855,0.0547073293241474
"Образование (1 - высшее, 2 - неполное высшее, 3 - среднее)",-0.1039853129504979,0.08894578869812561,-0.0994208932654502,0.23224942147419866,0.31869336909600443,1.0,-0.13668121004375067,0.009469994965521892,,,,,0.004303828485393513,0.02874172004525041,0.029894842963604416,0.03848759981956911,-0.08483504752559344,-0.09611883617378078,0.06843966948606281,-0.01150712767666299,-0.085626859592844,0.16338082685283617,0.2972032670746506,0.03689174375228035,0.0593790053734401,0.0294094946501867,-0.05116767826519982,0.20734975550059728,0.037754132686364614,-0.033903188795920566,-0.06089111697833718,-0.06966199495371794,-0.034919674988042264,-0.00254617926923636,-0.013455154031349276,-0.04016906586366955,-0.037039665320539705,0.013802958551811113,-0.05712064841828286,0.04863754115254655,0.06089111697833724,0.04756997348548732,-0.1411036705569935,,,0.019600497153314696,-0.017943849907537297,-0.007706154411544616,-0.10019925467240541,-0.06966199495371748,-0.019383895945052406,-0.021947695687256772,0.06861662752753547,,-0.013045471357904277,,0.0027446255575650034,0.02021788799050379,0.0681417706035227,0.041079356616380173,-0.14425654748160066,-0.11524676253039562,,-0.17019701080831884,-0.1668763137510909,-0.08502656644721093,0.043247462440043606,0.036753114484402806,-0.09368698036319803,-0.0484863805847567,-0.07198676630075816,-0.04374555589460795,0.0840940147605207,0.06362351154540648,0.018741993950804434,-0.06518858994695871,-0.08304879181789865,0.007352227065027553,0.07454567661389563,0.07948785620871755,0.03806778654694547,-0.04930209572261391,0.08006978688433165,-0.016766117411803002,-0.03620327595415805,0.030997629697903015,-0.05277978242531736,-0.0513631411765666,0.0808848721919777,-0.06083294917787094,0.1169127965420008,0.012541651072695517,-0.08279598323532969,0.026772526156874768,-0.06939730685671408,0.05518530714900342,-0.13758244003359232,0.08415449505984582,-0.04985211061060837,0.050638820791952345,-0.018787360251075864,0.039605483676778123,-0.04792977270793507,0.062141455346375184,-0.0174699724413954,-0.06275344586279291,,-0.02914190707089176,-0.054587094628592084,0.011592090204975957,0.013649111550483315,0.11205318435463206
"Вид родоразрешения (1 - ЕР, 2 - КС, 0 - не родоразрешена)",0.13459545332081924,-0.0946118737242657,0.27810504000258834,-0.14947368574502848,-0.06121254196886356,-0.13668121004375067,1.0,0.13034527345938604,,,,,-0.033039067014822884,-0.046655744334423065,0.02993997032357104,-0.1629567673246534,0.10899028391364841,0.0946118737242656,0.11378739092043927,0.07698884842302005,0.11591216670414924,0.05415162719601667,-0.0011263318300508503,0.08484330526707136,0.05717161877489399,0.010136986470456927,0.05878895783698187,-0.1005292071275189,0.23834515655420302,0.07089804942973399,0.06535566852732415,0.09434473378291791,0.09679087298415477,-0.009328856556355018,0.04741323837834674,0.108127855684875,-0.05996501793939387,0.01143894406078488,-0.07267105313059215,0.1866116768193357,0.05264762186923343,-0.08313244466196927,0.14121781372324968,,,0.3585549021891467,0.1553882671814342,0.12455347577373264,0.16857391247472475,-0.012305834841250354,-0.005576268383289274,0.23433235385405332,0.14642776517027384,,-0.15167144129126167,,-0.03222778706758881,0.009009195543215961,-0.06668313367115816,-0.06668313367115813,0.1565924058748702,0.1875285942203212,,0.4408781961367447,0.4010592294290576,0.02977119935112074,-0.1901883125438315,-0.04015129537888206,-0.13536922702598347,0.2030125675273797,0.014682794219173848,-0.016219721990646852,-0.07842140797829446,0.019754143956619563,0.19118063643143068,0.05894489620490951,0.04778790147256514,-0.015695685178701513,0.06974858407377235,-0.044216652325866974,-0.052327069392137215,-0.0408999643444335,-0.030885938575935887,-0.01952176296736691,0.08094034175573228,0.11055507836368998,-0.06915948435299606,-0.04591429427625076,0.02078158144826467,0.061535253459706576,-0.03158174473021492,0.22755429300120525,-0.031275046631817474,0.18086530976123702,-0.01765818321374924,0.06905903402706527,0.04101944947083377,-0.06208091259430156,0.04614965885645322,-0.012036595952980605,0.11378739092043927,-0.1401601122498734,-0.05913337558846218,0.06452716704950993,-0.03410289016865445,-0.16104447129127908,,-0.008034817840196423,0.07297305998490898,0.031024212531863857,-0.040687718602018155,-0.023178912965274388
Вредные привычки,0.14493419804159743,-0.12524400847428238,0.21792218658817405,-0.06227943530985011,0.05994523988542475,0.009469994965521892,0.13034527345938604,1.0,,,,,-0.03438070820862648,-0.027924371517980186,0.05220173190587246,0.049412311834856025,0.06523280730534439,0.05157106231294037,-0.02412015578087357,-0.0008564306030556001,-0.2008007548595108,0.08134601241781059,0.08226812321349888,0.018319833409115548,-0.057690402794459195,-0.04052012038873849,-0.0448625784905548,0.03110559475970266,0.07429517652618965,-0.038238334612627205,-0.01385381010400748,-0.03130244758934985,0.11378360257874648,0.03922695246118527,0.009083253572114081,-0.014734589232268102,0.09478405339143409,-0.04627131925310466,0.06838291023863467,-0.004601921622606974,0.013853810104007316,0.05182789649971271,0.005942584435425337,,,0.025164101736615537,0.06530106698723183,0.03804179233363177,0.11026356928399411,-0.03130244758934991,-0.03723404255319151,0.027160087922099042,-0.04366762174729604,,-0.039911154032166704,,0.09139427259615011,-0.01964293767620311,-0.039911154032166524,-0.03991115403216639,-0.01951813479783876,-0.032672461677969424,,0.15211042437031116,0.09197329544331019,-0.06678322791503102,-0.03765759878287379,-0.10646477532928311,-0.024257477383810573,0.2261802302730014,-0.07476509142594144,-0.043794234383249156,-0.05781387927653998,-0.03233889580919981,0.10295928030258836,0.11402409825120034,0.006523719672753114,0.022188522746185397,-0.018237730966770605,-0.004418871209771081,0.019888236480645118,0.002985430356210884,0.07051510076765392,0.07220872518569586,-0.0237210499752953,-0.05442714071257996,-0.004706519019597886,-0.019781389825506843,0.11010562651100897,0.06721406743571018,0.1295176701256058,-0.016450923049242873,-0.021432816809909314,-0.012789548815331415,-0.027355623100304014,-0.06136546680117113,-0.03130244758935002,0.05238580016364029,-0.021015792574958052,0.10378167588144839,-0.024120155780873943,-0.1873570311176172,-0.06153464716742488,-0.0014455638116459774,-0.007147131521346783,-0.017160807671882102,,-0.051719135285128004,0.16189339395063915,0.08288269202607679,-0.05366545622613794,-0.024120155780873842
Unnamed: 8_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 9_level_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
