Column 1: Filled=194, Total=194, Percentage=100.00%
Column 2: Filled=194, Total=194, Percentage=100.00%
Column 3: Filled=191, Total=194, Percentage=98.45%
Column 4: Filled=191, Total=194, Percentage=98.45%
Column 5: Filled=191, Total=194, Percentage=98.45%
Column 6: Filled=189, Total=194, Percentage=97.42%
Column 7: Filled=193, Total=194, Percentage=99.48%
Column 8: Filled=191, Total=194, Percentage=98.45%
Column 9: Filled=191, Total=194, Percentage=98.45%
Column 10: Filled=191, Total=194, Percentage=98.45%
Column 11: Filled=191, Total=194, Percentage=98.45%
Column 12: Filled=191, Total=194, Percentage=98.45%
Column 13: Filled=191, Total=194, Percentage=98.45%
Column 14: Filled=191, Total=194, Percentage=98.45%
Column 15: Filled=191, Total=194, Percentage=98.45%
Column 16: Filled=191, Total=194, Percentage=98.45%
Column 17: Filled=191, Total=194, Percentage=98.45%
Column 18: Filled=191, Total=194, Percentage=98.45%
Column 19: Filled=191, Total=194, Percentage=98.45%
Column 20: Filled=191, Total=194, Percentage=98.45%
Column 21: Filled=189, Total=194, Percentage=97.42%
Column 22: Filled=191, Total=194, Percentage=98.45%
Column 23: Filled=191, Total=194, Percentage=98.45%
Column 24: Filled=191, Total=194, Percentage=98.45%
Column 25: Filled=191, Total=194, Percentage=98.45%
Column 26: Filled=191, Total=194, Percentage=98.45%
Column 27: Filled=191, Total=194, Percentage=98.45%
Column 28: Filled=177, Total=194, Percentage=91.24%
Column 29: Filled=191, Total=194, Percentage=98.45%
Column 30: Filled=191, Total=194, Percentage=98.45%
Column 31: Filled=191, Total=194, Percentage=98.45%
Column 32: Filled=191, Total=194, Percentage=98.45%
Column 33: Filled=191, Total=194, Percentage=98.45%
Column 34: Filled=191, Total=194, Percentage=98.45%
Column 35: Filled=191, Total=194, Percentage=98.45%
Column 36: Filled=191, Total=194, Percentage=98.45%
Column 37: Filled=191, Total=194, Percentage=98.45%
Column 38: Filled=182, Total=194, Percentage=93.81%
Column 39: Filled=182, Total=194, Percentage=93.81%
Column 40: Filled=189, Total=194, Percentage=97.42%
Column 41: Filled=190, Total=194, Percentage=97.94%
Column 42: Filled=191, Total=194, Percentage=98.45%
Column 43: Filled=190, Total=194, Percentage=97.94%
Column 44: Filled=191, Total=194, Percentage=98.45%
Column 45: Filled=191, Total=194, Percentage=98.45%
Column 46: Filled=191, Total=194, Percentage=98.45%
Column 47: Filled=191, Total=194, Percentage=98.45%
Column 48: Filled=191, Total=194, Percentage=98.45%
Column 49: Filled=191, Total=194, Percentage=98.45%
Column 50: Filled=190, Total=194, Percentage=97.94%
Column 51: Filled=190, Total=194, Percentage=97.94%
Column 52: Filled=191, Total=194, Percentage=98.45%
Column 53: Filled=191, Total=194, Percentage=98.45%
Column 54: Filled=27, Total=194, Percentage=13.92%
Column 55: Filled=182, Total=194, Percentage=93.81%
Column 56: Filled=188, Total=194, Percentage=96.91%
Column 57: Filled=191, Total=194, Percentage=98.45%
Column 58: Filled=191, Total=194, Percentage=98.45%
Column 59: Filled=191, Total=194, Percentage=98.45%
Column 60: Filled=191, Total=194, Percentage=98.45%
Column 61: Filled=191, Total=194, Percentage=98.45%
Column 62: Filled=191, Total=194, Percentage=98.45%
Column 63: Filled=183, Total=194, Percentage=94.33%
Column 64: Filled=191, Total=194, Percentage=98.45%
Column 65: Filled=191, Total=194, Percentage=98.45%
Column 66: Filled=191, Total=194, Percentage=98.45%
Column 67: Filled=186, Total=194, Percentage=95.88%
Column 68: Filled=188, Total=194, Percentage=96.91%
